gameId,series_game_number,series_score_diff,is_closeout_game,home_playoff_last3_pts,away_playoff_last3_pts,home_playoff_margin_last3,away_playoff_margin_last3,home_playoff_games_played,away_playoff_games_played,home_prev_series_games,away_prev_series_games,home_playoff_home_winrate_hist
42500312,2,-1,0,120.33,129.0,7.0,22.0,9.0,12.0,4.0,6.0,0.7576
42500302,2,1,0,122.33,107.67,18.33,-0.33,11.0,15.0,4.0,7.0,0.6333
42500313,3,1,0,129.0,120.33,22.0,7.0,12.0,9.0,6.0,4.0,0.6316
42500303,3,-1,0,107.67,122.33,-0.33,18.33,15.0,11.0,7.0,4.0,0.675
42500314,4,1,0,129.0,120.33,22.0,7.0,12.0,9.0,6.0,4.0,0.6316
42500304,4,-1,0,107.67,122.33,-0.33,18.33,15.0,11.0,7.0,4.0,0.675
42500315,5,-1,0,120.33,129.0,7.0,22.0,9.0,12.0,4.0,6.0,0.7576
42500305,5,1,0,122.33,107.67,18.33,-0.33,11.0,15.0,4.0,7.0,0.6333
42500316,6,1,0,129.0,120.33,22.0,7.0,12.0,9.0,6.0,4.0,0.6316
42500306,6,-1,0,107.67,122.33,-0.33,18.33,15.0,11.0,7.0,4.0,0.675
42500317,7,-1,0,120.33,129.0,7.0,22.0,9.0,12.0,4.0,6.0,0.7576
42500307,7,1,0,122.33,107.67,18.33,-0.33,11.0,15.0,4.0,7.0,0.6333
